factor,rank,feature,weight,abs_weight,direction
Factor1,1,CST3,0.7356177070043766,0.7356177070043766,positive
Factor1,2,FCN1,0.7218837333029346,0.7218837333029346,positive
Factor1,3,CTSS,0.7157640729813544,0.7157640729813544,positive
Factor1,4,MNDA,0.7080967005394242,0.7080967005394242,positive
Factor1,5,FGL2,0.7050671992292659,0.7050671992292659,positive
Factor2,1,PF4,0.7893477792458331,0.7893477792458331,positive
Factor2,2,TUBB1,0.7864759041090058,0.7864759041090058,positive
Factor2,3,CAVIN2,0.784756862252388,0.784756862252388,positive
Factor2,4,GNG11,0.7794061389897257,0.7794061389897257,positive
Factor2,5,PPBP,0.7703069105434049,0.7703069105434049,positive
Factor3,1,CD79A,0.7710884422623727,0.7710884422623727,positive
Factor3,2,IGHM,0.7516670355741428,0.7516670355741428,positive
Factor3,3,MS4A1,0.7475837880588172,0.7475837880588172,positive
Factor3,4,BANK1,0.7304961455296132,0.7304961455296132,positive
Factor3,5,IGHD,0.7114381717138595,0.7114381717138595,positive
Factor4,1,GNLY,0.7784673483969013,0.7784673483969013,positive
Factor4,2,KLRF1,0.7496507945903362,0.7496507945903362,positive
Factor4,3,NKG7,0.7392175705428541,0.7392175705428541,positive
Factor4,4,KLRD1,0.7354492217473345,0.7354492217473345,positive
Factor4,5,PRF1,0.728412018909802,0.728412018909802,positive
Factor5,1,LILRA4,0.8064326186201215,0.8064326186201215,positive
Factor5,2,SERPINF1,0.7458539284770053,0.7458539284770053,positive
Factor5,3,CLEC4C,0.7423781563664329,0.7423781563664329,positive
Factor5,4,IL3RA,0.7295436518648097,0.7295436518648097,positive
Factor5,5,SCT,0.6996801470131806,0.6996801470131806,positive
Factor6,1,CDKN1C,0.8054280877444795,0.8054280877444795,positive
Factor6,2,HES4,0.7166663124370004,0.7166663124370004,positive
Factor6,3,FCGR3A,0.6953824521301357,0.6953824521301357,positive
Factor6,4,TCF7L2,0.6362760727093476,0.6362760727093476,positive
Factor6,5,CKB,0.5670858412090185,0.5670858412090185,positive
Factor7,1,GZMK,0.6931473038374041,0.6931473038374041,positive
Factor7,2,SLC4A10,0.5286881271393125,0.5286881271393125,positive
Factor7,3,TRGC2,0.49363974807999683,0.49363974807999683,positive
Factor7,4,LYAR,0.4692292821961626,0.4692292821961626,positive
Factor7,5,KLRG1,0.4590627441248374,0.4590627441248374,positive
Factor8,1,LGALSL,0.30604130172110755,0.30604130172110755,positive
Factor8,2,HEMGN,0.3022281010476957,0.3022281010476957,positive
Factor8,3,PDGFA,0.29247919978593767,0.29247919978593767,positive
Factor8,4,SMOX,0.2819952754508584,0.2819952754508584,positive
Factor8,5,C2orf88,0.27821634324186134,0.27821634324186134,positive
Factor9,1,IGHG1,-0.39790873090204965,0.39790873090204965,negative
Factor9,2,CLEC10A,-0.3510629320945337,0.3510629320945337,negative
Factor9,3,IGHG3,-0.3401865643574576,0.3401865643574576,negative
Factor9,4,TCL1A,0.33571753624042316,0.33571753624042316,positive
Factor9,5,SSPN,-0.32385973472830704,0.32385973472830704,negative
Factor10,1,IGHG1,0.5159254507757294,0.5159254507757294,positive
Factor10,2,IGHG3,0.42584605585104207,0.42584605585104207,positive
Factor10,3,TNFRSF13B,0.4147761302402893,0.4147761302402893,positive
Factor10,4,AIM2,0.40381938558803054,0.40381938558803054,positive
Factor10,5,SSPN,0.4037827941219489,0.4037827941219489,positive
